1 Month,2 Months,3 Months,6 Months,1 Year,Since Inception
1.26,4.81,8.73,4.43,10.26,12.78
1.17,4.89,9.12,3.92,7.86,10.96
0.59,0.59,0.99,2.31,5.54,5.64
